1-1211,France
1-1216,France
1-1219,France
1-1220,France
1-1221,France
1-1225,France
1-1226,France
1-1227,France
1-1230,France
1-1233,France
1-1234,France
1-1235,France
1-1236,France
1-1237,France
1-1241,France
1-1242,France
1-1243,France
1-1247,France
1-1248,France
1-1249,France
1-1250,France
1-1251,France
1-1252,France
1-1253,France
1-1254,France
1-1256,France
1-1267,France
1-1273,France
1-1278,France
2-1772,France
2-1777,France
2-1778,France
2-1783,France
2-1784,France
2-1787,France
2-1792,France
2-1798,France
2-1799,France
2-1800,France
2-1801,France
2-1802,France
2-1804,France
2-1805,France
2-1807,France
2-1809,France
2-1810,France
2-1811,France
2-1812,France
2-1813,France
2-1815,France
2-1816,France
2-1817,France
2-1818,France
2-1819,France
2-1820,France
2-1821,France
2-1822,France
2-1893,France
2-1894,France
2-1895,France
2-1897,France
2-1898,France
2-1900,France
2-1902,France
2-1903,France
2-1904,France
2-1905,France
2-1915,France
2-1916,France
2-1917,France
2-1918,France
2-1919,France
2-1920,France
2-1921,France
2-1923,France
2-1931,France
2-1932,France
2-1934,France
2-1935,France
2-1941,France
2-1942,France
2-1943,France
2-1944,France
2-1945,France
2-1946,France
2-1947,France
2-1948,France
2-1949,France
2-1950,France
2-1951,France
2-1959,France
2-1969,France
2-1973,France
2-1996,France
2-1998,France
2-1999,France
2-2005,France
2-2015,France
4-1175,France
4-1176,France
4-1177,France
4-1178,France
4-1188,France
4-1189,France
4-1191,France
4-1192,France
4-1221,France
4-1230,France
4-1237,France
4-1239,France
4-1242,France
4-1244,France
4-1245,France
4-1246,France
4-1247,France
4-1289,France
5-1776,France
5-1777,France
5-1844,France
5-1845,France
5-1847,France
5-1848,France
5-1850,France
5-1853,France
5-1859,France
5-1860,France
5-1861,France
5-1862,France
5-1870,France
5-1872,France
5-1873,France
5-1877,France
5-1878,France
5-1879,France
5-1880,France
5-1881,France
5-1882,France
5-1883,France
5-1884,France- Market
5-1891,France
5-1893,France
5-1894,France
5-1895,France
5-1896-A,France
5-1897,France
5-1898-A,France
5-1898-B,France
5-1899,France
5-1900,France
5-1922,France
5-1938,France
5-1939,France
5-1940,France- Market
5-1948,France
5-1949,France
5-1950,France
5-1951,France
5-1952-A,France
5-1952-B,France
5-1953-A,France
5-1953-B,France
5-1954,France
5-1955,France
5-1956,France
5-1958,France
5-1976,France
5-1991,France
5-1992,France
5-1993,France
5-1994,France
5-1995,France
5-1996,France
5-2009,France
5-2010,France
5-2037,France
5-2038,France
5-2039,France
5-2040,France
5-2041,France
5-2043,France
5-2046,France
7-1332,France
7-1333,France
7-1335,France
7-1338,France
7-1339,France
7-1340,France
7-1341,France
7-1342,France
7-1344,France
7-1347,France
7-1349,France
7-1350,France
7-1367,France
7-1368,France
7-1369,France
7-1370,France
7-1401,France
7-1402,France
8-0192,France
8-0193,France
9-0174,France
9-0175,France
9-0176,France
9-0177,France
9-0178,France
9-0179,France
9-0180,France
9-0181,France
9-0182,France
9-0183,France
9-0184,France
9-0196,France
9-0203,France
9-0205,France
2-0331,Italian
2-0334,Italian
2-0672,Italian
2-1206,Italian
2-1209,Italian
2-1502,Italian
2-1560-A,Italian
2-1593,Italian
2-1594,Italian
2-1614,Italian
2-1615,Italian
2-1616,Italian
2-1617,Italian
2-1618,Italian
2-1619,Italian
2-1620,Italian
2-1621-A,Italian
2-1621-B,Italian
2-1622-A,Italian
2-1622-B,Italian
2-1623,Italian
2-1624,Italian
2-1625,Italian
2-1626,Italian
2-1627,Italian
2-1628,Italian
2-1629,Italian
2-1630,Italian
5-0547,Italian
5-0560,Italian
5-1517,Italian
5-1601-A,Italian
5-1601-B,Italian
5-1601-C,Italian
5-1601-D,Italian
5-1602-A,Italian
5-1602-B,Italian
5-1602-C,Italian
5-1638,Italian
5-1639,Italian
5-1640,Italian
5-1641,Italian
5-1642,Italian
5-1643,Italian
5-1644,Italian
5-1652,Italian
5-1656,Italian
5-1657,Italian
5-1658,Italian
5-1659,Italian
5-1660,Italian
5-1661,Italian
5-1662,Italian
5-1663,Italian
5-1664,Italian
5-1665,Italian
5-1666,Italian
5-1667,Italian
5-1668,Italian
5-1669,Italian
5-1670,Italian
5-1671,Italian
5-1690,Italian
10-1793,Market
1-1153,Market
1-1159-B,Market
1-1186,Market
1-1189,Market
1-1191,Market
1-1195,Market
1-1198,Market
1-1200,Market
1-1204,Market
1-1205,Market
1-1208,Market
1-1209,Market
1-1214,Market
1-1222,Market
1-1223,Market
1-1228,Market
1-1229-A,Market
1-1229-B,Market
1-1231,Market
1-1239,Market
1-1240,Market
1-1255,Market
1-1259,Market
1-1260,Market
1-1261,Market
1-1262,Market
1-1263,Market
1-1264,Market
1-1269,Market
1-1282,Market
2-1271,Market
2-1373-D,Market
2-1419,Market
2-1472,Market
2-1652,Market
2-1689,Market
2-1691,Market
2-1698,Market
2-1699,Market
2-1700,Market
2-1702,Market
2-1703,Market
2-1705,Market
2-1706,Market
2-1707,Market
2-1709,Market
2-1710,Market
2-1711,Market
2-1739,Market
2-1746,Market
2-1769,Market
2-1770,Market
2-1771,Market
2-1773,Market
2-1774,Market
2-1780,Market
2-1781,Market
2-1782,Market
2-1793,Market
2-1794,Market
2-1797,Market
2-1803,Market
2-1806,Market
2-1858,Market
2-1859,Market
2-1860,Market
2-1876,Market
2-1877,Market
2-1878,Market
2-1879,Market
2-1901,Market
2-1906,Market
2-1907,Market
2-1908,Market
2-1910,Market
2-1924,Market
2-1925,Market
2-1926,Market
2-1927,Market
2-1928,Market
2-1929,Market
2-1930,Market
2-1933,Market
2-1936,Market
2-1939,Market
2-1940,Market
2-1955,Market
2-1956,Market
2-1957,Market
2-1972,Market
2-1981,Market
2-1990,Market
2-1991,Market
2-1992,Market
2-1993,Market
2-1994,Market
2-1995,Market
2-1997,Market
2-2001,Market
2-2002,Market
10-2003,Market
2-2004,Market
2-2006,Market
